DSCAM-AS1	AZGP1
	LCN12
	PGLYRP4
	S100A11
	S100A5
	S100A3
	S100A1
	DEFB128
	DEFB108B
	HTN1
	LMBR1L
	S100A7A
	DEFB118
	COLEC12
	TMSB4Y
	DEFB131A
	DEFB134
	DEFB130A
	DEFB124
	DEFB121
	DEFB116
	DEFB115
	DEFB114
	DEFB113
	DEFB112
	DEFB110
	TMSB15B
	DEFB133
	S100Z
	MAVS
	TMSB4XP8
	S100A14
	LCN10
	S100A16
	DEFB136
	DEFB135
	DEFB117
	DEFB110
	ZC3HAV1L
	S100A7L2
	MBL3P
	DEFB4B
	BPIFB4
	IFNAR1
	AZU1
	DEFB131B
	DEFA1A3
	LCN1P1
	S100G
	DEFA7P
	DEFB130B
	DEFB108F
	DEFB131C
	TCHHL1
	TINAGL1
	IFNGR1
	SLC22A17
	WFIKKN1
	WFDC2
	IL6
	UMODL1
	TGFB1
	PF4V1
	MMP9
	ANOS1
	TLR4
	IFNG
	SPAG11B
	A2M
	CTSL
	NFKB1
	APOBEC3G
	FABP6
	NOD2
	MBL2
	SFTPA1
	RBP1
	TLR2
	SLC40A1
	PLAU
	IL1B
	PAEP
	HJV
	MUC5AC
	CTSS
	OBP2A
	PLTP
	MX1
	DDX58
	IFNL1
	IRF3
	SFTPA2
	LPA
	LBP
	RBP4
	SFTPA1
	NOX4
	LTF
	IFNB1
	RBP5
	FABP7
	FABP5
	FABP3
	FABP2
	FABP4
	R3HDML
	BPIFA3
	BPIFB1
	OASL
	CRABP2
	CRABP1
	RBP7
	DUOX1
	OBP2B
	RBP2
	LCN15
	CETP
	FABP12
	FABP9
	BPIFA1
	LCNL1
	C8G
	SPAG11A
	PI15
	NOX1
	PMP2
	APOD
	ORM2
	ORM1
	TNF
	CTSG
	PRTN3
	MAPK1
	PML
	AEN
	CYBB
	BPIFA2
	ISG20
	BCL3
	ISG20L2
	NOX5
	NOX3
	DUOX2
	TLR3
	TFRC
	IFIH1
	LRP1
	TRIM5
	IDO1
	GDF15
	NEDD4
	ADIPOQ
	STAT3
	STAT1
	IFNL2
	SOCS3
	SEMG1
	TNFSF10
	CCL20
	SOCS1
	RNASEL
	IRF1
	IL15
	APOBEC3F
	PLAAT4
	CHIT1
	IFNA1
	CD40
	TLR7
	PPIA
	HFE
	ZYX
	NLRX1
	PGC
	VEGFA
	IKBKE
	ISG15
	DHX58
	TNFAIP3
	TFR2
	FCN2
	MUC4
	F2R
	ELN
	IL27
	MAPT
	LYZ
	CCL5
	LEP
	CYLD
	KLKB1
	CST4
	CSRP1
	MAPK14
	JUN
	ITGAV
	IRF5
	CCR6
	IL12B
	TLR8
	GNLY
	CD81
	EIF2AK2
	APOM
	CACYBP
	NOD1
	MAPK8
	MAPK3
	BST2
	BPHL
	PLA2G2A
	GRN
	NEWENTRY
	PDGFRA
	GNAI1
	WNT5A
	FURIN
	ADAR
	TYK2
	NOS2
	TRAF3
	TPT1
	TPM2
	NEO1
	AHNAK
	TLR1
	TK2
	PRDX2
	MX2
	FGF2
	FGA
	TCF7L2
	F2RL1
	TKFC
	MSR1
	NFKBIZ
	LMBR1
	EPPIN
	SRC
	MPO
	ELAVL1
	ROBO3
	SP1
	SOD1
	PDF
	DLL4
	ECD
	SLC11A1
	DMBT1
	STING1
	SKIV2L
	SEMG2
	LTA
	DES
	DCK
	DAXX
	TNFRSF10A
	TNFRSF10B
	EED
	CCL4
	LIMS1
	LALBA
	APOBEC3H
	TMPRSS6
	SPINK5
	MARCO
	BECN1
	TNFSF11
	KNG1
	CSK
	KLRK1
	KCNH2
	JUND
	JAK1
	CREB1
	CLDN4
	CCL28
	RNASE3
	RN7SL1
	IRF7
	IREB2
	ILK
	IL18
	IL17A
	LTB4R
	APOBEC3A
	MASP2
	TRIM27
	RELA
	IL7R
	IL1A
	PTX3
	IFNAR2
	IFN1@
	SYTL1
	APOBEC3C
	DDX17
	PTGS2
	HTR1A
	SEPTIN7
	CD40LG
	CD14
	CD8A
	CD4
	MASP1
	PROC
	MAP2K2
	MAP2K1
	HRG
	NDRG1
	IRF9
	TRIM22
	LANCL1
	PPP4C
	HMOX1
	HMGB1
	HLA-B
	RNASE7
	ABCC4
	HGF
	HDAC1
	IFNLR1
	PLSCR1
	B2M
	BACH2
	TANK
	PIK3CG
	ARRB1
	RSAD2
	STAB2
	TBK1
	PDYN
	PDGFRB
	PDCD1
	PCSK2
	PCSK1
	ARG2
	AQP9
	FASLG
	APOH
	BIRC5
	ANXA6
	IL22
	VTN
	VIM
	VCAM1
	PRDX1
	GFAP
	GBP2
	ALB
	SLC29A3
	OAS1
	AGER
	UNC93B1
	TNFSF4
	NOS1
	ACTG1
	ACTA1
	ACO1
	SERPINA3
	CXCR1
	CCL15
	CCL14
	CCL4
	CCL16
	CCL19
	CCL13
	CCL18
	CCL17
	CCL26
	CCL22
	CCR3
	CCL28
	CCL4L1
	ACKR2
	CCR7
	CCL27
	CCR8
	ACKR4
	CCR10
	CCL2
	CCL21
	CCL7
	CCL5
	CCL3
	CCL20
	CCL11
	CCR5
	CCL23
	CCL25
	CCL1
	CCL3L3
	CCL4L2
	CXCL12
	XCL1
	CCL8
	CCL3L1
	CCR1
	CCL24
	XCL2
	CXCL1
	CXCL10
	CXCR4
	CXCL2
	CXCR6
	CCR4
	CXCL11
	TAFA5
	TAFA3
	TAFA4
	TAFA1
	TAFA2
	CCL15-CCL14
	IL6
	TNF
	IL1B
	IL18
	PTK2B
	VEGFA
	IL4
	CDH1
	CD40
	DEFB103B
	F2RL1
	MMP9
	LTBP1
	DEFB4A
	TNFSF10
	IL13
	IL10
	IL2
	PPARG
	FGR
	MIF
	CRP
	JAK2
	IL1A
	PTK2
	PTGDR
	CD86
	HCK
	ARRB1
	GNAI1
	VDR
	OLR1
	GRK2
	TXK
	RNASE2
	CD79A
	CD79B
	LYN
	SYK
	BTK
	BLNK
	VAV3
	VAV1
	VAV2
	RAC1
	RAC2
	RAC3
	PPP3CA
	PPP3CB
	PPP3CC
	CHP1
	PPP3R1
	PPP3R2
	CHP2
	NFAT5
	NFATC1
	NFATC2
	NFATC3
	NFATC4
	HRAS
	KRAS
	NRAS
	FOS
	JUN
	CARD11
	BCL10
	MALT1
	CHUK
	IKBKB
	IKBKG
	NFKB1
	RELA
	NFKBIA
	NFKBIB
	NFKBIE
	CD81
	CD19
	CR2
	PIK3R5
	PIK3R1
	PIK3R2
	PIK3R3
	PIK3CA
	PIK3CB
	PIK3CD
	PIK3CG
	AKT3
	AKT1
	AKT2
	GSK3B
	INPP5D
	CD22
	CD72
	PTPN6
	LILRB3
	FCGR2B
	RASGRP3
	PLCG2
	PRKCB
	IFITM1
	IGH
	IGHA1
	IGHA2
	IGHD
	IGHD1-1
	IGHD1-14
	IGHD1-20
	IGHD1-26
	IGHD1-7
	IGHD2-15
	IGHD2-2
	IGHD2-21
	IGHD2-8
	IGHD3-10
	IGHD3-16
	IGHD3-22
	IGHD3-3
	IGHD3-9
	IGHD4-11
	IGHD4-17
	IGHD4-23
	IGHD4-4
	IGHD5-12
	IGHD5-18
	IGHD5-24
	IGHD5-5
	IGHD6-13
	IGHD6-19
	IGHD6-25
	IGHD6-6
	IGHD7-27
	IGHE
	IGHG1
	IGHG2
	IGHG3
	IGHG4
	IGHJ1
	IGHJ2
	IGHJ3
	IGHJ4
	IGHJ5
	IGHJ6
	IGHM
	IGH
	IGHV1-18
	IGHV1-2
	IGHV1-24
	IGHV1-3
	IGHV1-45
	IGHV1-46
	IGHV1-58
	IGHV1-69
	IGHV1-8
	IGHV1-38-4
	IGHV1-69-2
	IGHV2-26
	IGHV2-5
	IGHV2-70
	IGHV3-11
	IGHV3-13
	IGHV3-15
	IGHV3-16
	IGHV3-20
	IGHV3-21
	IGHV3-23
	IGHV3-30
	IGHV3-30-3
	IGHV3-30-5
	IGHV3-33
	IGHV3-35
	IGHV3-38
	IGHV3-43
	IGHV3-48
	IGHV3-49
	IGHV3-53
	IGHV3-64
	IGHV3-66
	IGHV3-7
	IGHV3-72
	IGHV3-73
	IGHV3-74
	IGHV3-9
	IGHV3-38-3
	IGHV3-69-1
	IGHV4-28
	IGHV4-30-1
	IGHV4-30-2
	IGHV4-30-4
	IGHV4-31
	IGHV4-34
	IGHV4-39
	IGHV4-4
	IGHV4-59
	IGHV4-61
	IGHV4-38-2
	IGHV5-51
	IGHV5-10-1
	IGHV6-1
	IGHV7-4-1
	IGHV7-81
	IGK
	IGKC
	IGKDEL
	IGKJ
	IGKJ1
	IGKJ2
	IGKJ3
	IGKJ4
	IGKJ5
	IGKV@
	IGKV1-12
	IGKV1-13
	IGKV1-16
	IGKV1-17
	IGKV1-27
	IGKV1-33
	IGKV1-37
	IGKV1-39
	IGKV1-5
	IGKV1-6
	IGKV1-8
	IGKV1-9
	IGKV1D-12
	IGKV1D-13
	IGKV1D-16
	IGKV1D-17
	IGKV1D-33
	IGKV1D-37
	IGKV1D-39
	IGKV1D-42
	IGKV1D-43
	IGKV1D-8
	IGKV2-24
	IGKV2-28
	IGKV2-30
	IGKV2-40
	IGKV2D-24
	IGKV2D-28
	IGKV2D-29
	IGKV2D-30
	IGKV2D-40
	IGKV3-11
	IGKV3-15
	IGKV3-20
	IGKV3-7
	IGKV3D-11
	IGKV3D-15
	IGKV3D-20
	IGKV3D-7
	IGKV4-1
	IGKV5-2
	IGKV6-21
	IGKV6D-21
	IGKV6D-41
	IGL
	IGLC1
	IGLC2
	IGLC3
	IGLC6
	IGLC7
	IGLJ
	IGLJ1
	IGLJ2
	IGLJ3
	IGLJ4
	IGLJ5
	IGLJ6
	IGLJ7
	IGLV@
	IGLV1-36
	IGLV1-40
	IGLV1-44
	IGLV1-47
	IGLV1-50
	IGLV1-51
	IGLV10-54
	IGLV11-55
	IGLV2-11
	IGLV2-14
	IGLV2-18
	IGLV2-23
	IGLV2-33
	IGLV2-8
	IGLV3-1
	IGLV3-10
	IGLV3-12
	IGLV3-16
	IGLV3-19
	IGLV3-21
	IGLV3-22
	IGLV3-25
	IGLV3-27
	IGLV3-32
	IGLV3-9
	IGLV4-3
	IGLV4-60
	IGLV4-69
	IGLV5-37
	IGLV5-39
	IGLV5-45
	IGLV5-48
	IGLV5-52
	IGLV6-57
	IGLV7-43
	IGLV7-46
	IGLV8-61
	IGLV9-49
	C3
	C5
	CAMP
	CCL1
	CCL11
	CCL13
	CCL14
	CCL15-CCL14
	CCL15
	CCL16
	CCL17
	CCL18
	CCL19
	CCL2
	CCL20
	CCL21
	CCL22
	CCL23
	CCL24
	CCL25
	CCL26
	CCL27
	CCL28
	CCL3
	CCL3L1
	CCL3P1
	CCL3L3
	CCL4
	CCL4L2
	CCL4L1
	CCL5
	CCL7
	CCL8
	CKLF
	CMA1
	CTSG
	CX3CL1
	CXCL1
	CXCL10
	CXCL11
	CXCL12
	CXCL13
	CXCL14
	CXCL16
	CXCL17
	CXCL2
	CXCL3
	CXCL5
	CXCL6
	CXCL9
	CCN1
	DEFA1
	DEFA3
	DEFA5
	DEFB1
	DEFB103B
	DEFB104A
	DEFB4A
	EDN1
	EDN2
	EDN3
	FGF10
	FGF2
	HTN3
	CXCL8
	LECT2
	PF4
	PF4V1
	PLAU
	PPBP
	PPBPP1
	PROK2
	RNASE2
	SAA1
	SAA2
	SBDS
	SEMA3A
	SEMA3B
	SEMA3C
	SEMA3D
	SEMA3E
	SEMA3F
	SEMA3G
	SEMA4A
	SEMA4B
	SEMA4C
	SEMA4D
	SEMA4F
	SEMA4G
	SEMA5A
	SEMA5B
	SEMA6A
	SEMA6B
	SEMA6C
	SEMA6D
	SEMA7A
	SLIT1
	SLIT2
	TNC
	TYMP
	XCL1
	XCL2
	C5AR1
	ACKR2
	CCR1
	CCR10
	CCR3
	CCR4
	CCR5
	CCR6
	CCR7
	CCR8
	CCR9
	ACKR4
	CCRL2
	CMKLR1
	CX3CR1
	CXCR3
	CXCR4
	CXCR5
	CXCR6
	ACKR3
	CYSLTR1
	CYSLTR2
	ACKR1
	EDNRA
	EDNRB
	FPR1
	FPR2
	FPR2
	GPR17
	GPR32
	GPR33
	PTGDR2
	C5AR2
	CXCR1
	CXCR2
	LTB4R
	LTB4R2
	PLAUR
	PLXNA1
	PLXNA2
	PLXNA3
	PLXNA4
	PLXNB1
	PLXNB2
	PLXNB3
	PLXNC1
	PLXND1
	PTAFR
	ROBO1
	ROBO2
	ROBO3
	RXFP3
	XCR1
	ADIPOQ
	ADM
	ADM2
	AGRP
	AGT
	AMBN
	AMELX
	AMH
	ANGPTL5
	ANGPTL7
	APLN
	AREG
	MANF
	CDNF
	ARTN
	AVP
	AZU1
	BDNF
	BMP1
	BMP10
	BMP15
	BMP2
	BMP3
	BMP4
	BMP5
	BMP6
	BMP7
	BMP8A
	BMP8B
	BTC
	MYDGF
	C3
	C5
	CALCA
	CALCB
	CAMP
	CAT
	CCK
	CCL1
	CCL11
	CCL13
	CCL14
	CCL15-CCL14
	CCL15
	CCL16
	CCL17
	CCL18
	CCL19
	CCL2
	CCL20
	CCL21
	CCL22
	CCL23
	CCL24
	CCL25
	CCL26
	CCL27
	CCL28
	CCL3
	CCL3L1
	CCL3P1
	CCL3L3
	CCL4
	CCL4L2
	CCL4L1
	CCL5
	CCL7
	CCL8
	CD320
	CD40LG
	CD70
	ADA2
	CER1
	CGA
	CGB3
	CGB1
	CGB2
	CGB5
	CGB7
	CGB8
	CHGA
	CHGB
	CKLF
	CLCF1
	CLEC11A
	CMA1
	CMTM1
	CMTM2
	CMTM3
	CMTM4
	CMTM5
	CMTM6
	CMTM7
	CMTM8
	CNTF
	CORT
	CRH
	CSF1
	CSF2
	CSF3
	CSH1
	CSH2
	CSHL1
	CSPG5
	CTF1
	CCN2
	CTSG
	CX3CL1
	CXCL1
	CXCL10
	CXCL11
	CXCL12
	CXCL13
	CXCL14
	CXCL16
	CXCL17
	CXCL2
	CXCL3
	CXCL5
	CXCL6
	CXCL9
	CCN1
	DEFA1
	DEFA3
	DEFA5
	DEFB1
	DEFB103B
	DEFB104A
	DEFB4A
	DKK1
	EBI3
	EDN1
	EDN2
	EDN3
	EGF
	EPGN
	EPO
	EREG
	ESM1
	FAM3B
	FAM3C
	FAM3D
	FASLG
	FGF1
	FGF10
	FGF11
	FGF12
	FGF13
	FGF14
	FGF16
	FGF17
	FGF18
	FGF19
	FGF2
	FGF20
	FGF21
	FGF22
	FGF23
	FGF3
	FGF4
	FGF5
	FGF6
	FGF7
	FGF8
	FGF9
	VEGFD
	FIGNL2
	FLT3LG
	FSHB
	GAL
	GALP
	GAST
	GCG
	GDF1
	GDF10
	GDF11
	GDF15
	GDF2
	GDF3
	GDF5
	GDF6
	GDF7
	GDF9
	GDNF
	GH1
	GH2
	GHRH
	GHRL
	GIP
	GKN1
	GMFB
	GMFG
	GNRH1
	GNRH2
	GPHA2
	GPHB5
	GPI
	GREM1
	GREM2
	GRN
	GRP
	GUCA2A
	HAMP
	HBEGF
	HDGF
	HDGFL3
	HGF
	HTN3
	IAPP
	IFNA1
	IFNA10
	IFNA13
	IFNA14
	IFNA16
	IFNA17
	IFNA2
	IFNA21
	IFNA4
	IFNA5
	IFNA6
	IFNA7
	IFNA8
	IFNB1
	IFNE
	IFNG
	IFNK
	IFNW1
	IGF1
	IGF2
	IL10
	IL11
	IL12A
	IL12B
	IL13
	IL15
	IL16
	IL17A
	IL17B
	IL17C
	IL17D
	IL17F
	IL18
	IL19
	IL1A
	IL1B
	IL1F10
	IL36RN
	IL36A
	IL37
	IL36B
	IL36G
	IL1RN
	IL2
	IL20
	IL21
	IL22
	IL23A
	IL24
	IL25
	IL26
	IL27
	IFNL2
	IFNL3
	IFNL1
	IL3
	IL31
	IL32
	IL33
	IL34
	IL4
	IL5
	IL6
	IL6ST
	IL7
	CXCL8
	IL9
	INHA
	INHBA
	INHBB
	INHBC
	INHBE
	INS
	INS-IGF2
	INSL3
	INSL4
	INSL5
	INSL6
	JAG1
	JAG2
	FGF7P6
	FGF7P3
	KITLG
	KL
	LACRT
	LECT2
	LEFTY1
	LEFTY2
	LEP
	LHB
	LIF
	LRSAM1
	LTA
	LTB
	LTBP1
	LTBP2
	LTBP3
	LTBP4
	MDK
	MIA
	MIF
	MLN
	MSTN
	NAMPT
	NDP
	NENF
	NGF
	NMB
	NODAL
	CCN3
	NPFF
	NPPA
	NPPB
	NPPC
	NPY
	NRG1
	NRG2
	NRG3
	NRG4
	NRTN
	NTF3
	NTF4
	NTS
	NUDT6
	OGN
	OSGIN1
	OSM
	OSTN
	OXT
	ENDOU
	PDGFA
	PDGFB
	PDGFC
	PDGFD
	PDGFRA
	PDGFRB
	PDGFRL
	PDYN
	PENK
	PF4
	PF4V1
	PGF
	PLAU
	PMCH
	PNOC
	POMC
	PPBP
	PPBPP1
	PPBPP2
	PPY
	PRL
	PRLH
	PROK1
	PROK2
	PSPN
	PTH
	PTH2
	PTHLH
	PTN
	PYY
	QRFP
	RABEP1
	RABEP2
	REG1A
	RETN
	RETNLB
	RLN1
	RLN2
	RLN3
	RNASE2
	S100A6
	SAA1
	SAA2
	SBDS
	SCG2
	SCGB3A1
	SCT
	AIMP1
	SECTM1
	SEMA3A
	SEMA3B
	SEMA3C
	SEMA3D
	SEMA3E
	SEMA3F
	SEMA3G
	SEMA4A
	SEMA4B
	SEMA4C
	SEMA4D
	SEMA4F
	SEMA4G
	SEMA5A
	SEMA5B
	SEMA6A
	SEMA6B
	SEMA6C
	SEMA6D
	SEMA7A
	SLIT1
	SLIT2
	SLURP1
	SPP1
	SST
	STC1
	STC2
	TAC1
	TDGF1
	TDGF1P3
	TG
	TGFA
	TGFB1
	TGFB2
	TGFB3
	THPO
	TNC
	TNF
	TNFRSF11B
	TNFSF10
	TNFSF11
	TNFSF12
	TNFSF13
	TNFSF13B
	TNFSF14
	TNFSF15
	TNFSF18
	TNFSF4
	TNFSF8
	TNFSF9
	TOR2A
	TRH
	TSHB
	TSLP
	TXLNA
	TYMP
	UCN
	UCN2
	UCN3
	UTS2
	UTS2B
	VEGFA
	VEGFB
	VEGFC
	VGF
	VIP
	XCL1
	XCL2
	ACVR1B
	ACVR1C
	ACVR2A
	ACVR2B
	ACVRL1
	ADCYAP1R1
	ADIPOR1
	ADIPOR2
	ADRB1
	ADRB2
	AGTR1
	AGTR2
	AMHR2
	ANGPT1
	ANGPT4
	ANGPTL1
	ANGPTL2
	ANGPTL3
	ANGPTL4
	ANGPTL6
	APLNR
	AR
	AVPR1A
	AVPR1B
	AVPR2
	BMPR1A
	BMPR1B
	BMPR2
	BRD8
	C3AR1
	C5AR1
	CALCR
	CALCRL
	ACKR2
	CCR1
	CCR10
	CCR3
	CCR4
	CCR5
	CCR6
	CCR7
	CCR8
	CCR9
	ACKR4
	CCRL2
	CD40
	CMKLR1
	CNTFR
	CRHR1
	CRHR2
	CRIM1
	CRLF1
	CRLF2
	CRLF3
	CSF1R
	CSF2RA
	CSF2RB
	CSF3R
	CX3CR1
	CXCR3
	CXCR4
	CXCR5
	CXCR6
	ACKR3
	CYSLTR1
	CYSLTR2
	ACKR1
	EDNRA
	EDNRB
	EGFR
	ENG
	EPOR
	ESR1
	ESR2
	ESRRA
	ESRRB
	ESRRG
	FGFR1
	FGFR2
	FGFR3
	FGFR4
	FGFRL1
	FLT1
	FLT3
	FLT4
	FPR1
	FPR2
	FPR2
	FSHR
	GALR2
	GALR3
	GCGR
	GHR
	GHRHR
	GHSR
	GIPR
	GLP1R
	GLP2R
	GNRHR
	GPER1
	GPR17
	GPR32
	GPR33
	PTGDR2
	C5AR2
	HNF4A
	HNF4G
	HTR3A
	HTR3B
	HTR3C
	HTR3D
	HTR3E
	IFNAR1
	IFNAR2
	IFNGR1
	IFNGR2
	IGF1R
	IGF2R
	IL10RA
	IL10RB
	IL11RA
	IL12RB1
	IL12RB2
	IL13RA1
	IL13RA2
	IL15RA
	IL2RB
	IL17RA
	IL17RB
	IL17RC
	IL17RD
	IL17RE
	IL18R1
	IL18RAP
	IL1R1
	IL1R2
	IL1RAP
	IL1RL1
	IL1RL2
	IL20RA
	IL20RB
	IL21R
	IL22RA1
	IL22RA2
	IL23R
	IL27RA
	IFNLR1
	IL2RA
	IL2RB
	IL2RG
	IL31RA
	IL3RA
	IL4R
	IL5RA
	IL6R
	IL7R
	CXCR1
	CXCR2
	IL9R
	INSR
	KDR
	LEPR
	LGR4
	LGR5
	LGR6
	LHCGR
	LIFR
	LTB4R
	LTB4R2
	LTBR
	MC1R
	MC2R
	MC3R
	MC4R
	MCHR1
	MCHR2
	MET
	MLNR
	MPL
	MTNR1A
	MTNR1B
	NGFR
	NMBR
	NPR1
	NPR3
	NR0B1
	NR0B2
	NR1D1
	NR1D2
	NR1H2
	NR1H3
	NR1H4
	NR1I2
	NR1I3
	NR2C1
	NR2C2
	NR2E1
	NR2E3
	NR2F1
	NR2F2
	NR2F6
	NR3C1
	NR3C2
	NR4A1
	NR4A2
	NR4A3
	NR5A1
	NR5A2
	NR6A1
	NRP1
	NRP2
	OGFR
	OPRD1
	OPRK1
	OPRL1
	OPRM1
	OSMR
	OXTR
	PGR
	PGRMC2
	PLAUR
	PLXNA1
	PLXNA2
	PLXNA3
	PLXNA4
	PLXNB1
	PLXNB2
	PLXNB3
	PLXNC1
	PLXND1
	PPARA
	PPARD
	PPARG
	PRLHR
	PRLR
	PTAFR
	PTGDR
	PTGDS
	PTGER1
	PTGER2
	PTGER3
	PTGER4
	PTGFR
	PTH1R
	PTH2R
	RARA
	RARB
	RARG
	ROBO1
	ROBO2
	ROBO3
	RORA
	RORB
	RORC
	RXFP1
	RXFP2
	RXFP3
	RXRA
	RXRB
	RXRG
	S1PR1
	S1PR2
	SCTR
	SDC1
	SDC2
	SDC3
	SDC4
	SORT1
	SSTR1
	SSTR2
	SSTR5
	ST2
	TACR1
	TEK
	TGFBR1
	TGFBR2
	TGFBR3
	THRA
	THRB
	TIE1
	TNFRSF10A
	TNFRSF10B
	TNFRSF10C
	TNFRSF10D
	TNFRSF11A
	TNFRSF12A
	TNFRSF13B
	TNFRSF13C
	TNFRSF14
	TNFRSF17
	TNFRSF18
	TNFRSF19
	TNFRSF1A
	TNFRSF1B
	TNFRSF21
	TNFRSF25
	TNFRSF4
	TNFRSF6B
	TNFRSF8
	TNFRSF9
	TRHR
	TSHR
	TUBB3
	VDR
	VIPR1
	VIPR2
	XCR1
	IFNA10
	IFNA13
	IFNA14
	IFNA16
	IFNA17
	IFNA2
	IFNA21
	IFNA4
	IFNA5
	IFNA6
	IFNA7
	IFNA8
	IFNB1
	IFNE
	IFNG
	IFNK
	IFNW1
	IFNAR2
	IFNGR1
	IFNGR2
	IL11
	IL12A
	IL12B
	IL13
	IL15
	IL16
	IL17A
	IL17B
	IL17C
	IL17D
	IL17F
	IL18
	IL19
	IL1A
	IL1B
	IL1F10
	IL36RN
	IL36A
	IL37
	IL36B
	IL36G
	IL1RN
